Date,Benzene,CS2,Ozone,SO2,Toluene,Xylene,Wind Direction,Wind Speed,Wind Origin
8/1/15 18:30,2.5,2.5,17.23,2.5,2.5,2.5,209,14,SSW
8/1/15 18:35,2.5,2.5,19.25,2.5,2.5,2.5,207,15,SSW
8/1/15 18:40,2.5,2.5,19.73,2.5,2.5,2.5,203,14,SSW
8/1/15 18:45,2.5,2.5,19.36,2.5,2.5,2.5,201,13,SSW
8/1/15 18:50,2.5,2.5,17.92,2.5,2.5,2.5,202,12,SSW
8/1/15 18:55,2.5,2.5,15.98,2.5,2.5,2.5,192,12,SSW
8/1/15 19:00,2.5,2.5,15.58,2.5,2.5,2.5,201,10,SSW
8/1/15 19:05,2.5,2.5,14.64,2.5,2.5,2.5,201,10,SSW
8/1/15 19:10,2.5,2.5,13.08,2.5,2.5,2.5,209,11,SSW
8/1/15 19:15,2.5,2.5,14.24,2.5,2.5,2.5,205,12,SSW
8/1/15 19:20,2.5,2.5,15.68,2.5,2.5,2.5,204,13,SSW
8/1/15 19:25,2.5,2.5,14.61,2.5,2.5,2.5,202,12,SSW
8/1/15 19:30,2.5,2.5,14.01,2.5,2.5,2.5,200,10,SSW
8/1/15 19:35,2.5,2.5,13.49,2.5,2.5,2.5,209,13,SSW
8/1/15 19:40,2.5,2.5,13.2,2.5,2.5,2.5,208,10,SSW
8/1/15 19:45,2.5,2.5,14.01,2.5,2.5,2.5,213,11,SSW
8/1/15 19:50,2.5,2.5,13.22,2.5,2.5,2.5,205,9,SSW
8/1/15 19:55,2.5,2.5,10.81,2.5,2.5,2.5,202,10,SSW
8/1/15 20:00,2.5,2.5,13.81,2.5,2.5,2.5,196,11,SSW
8/1/15 20:05,2.5,2.5,13.52,2.5,2.5,2.5,204,12,SSW
8/1/15 20:10,2.5,2.5,14.42,2.5,2.5,2.5,208,10,SSW
8/1/15 20:15,2.5,2.5,13.88,2.5,2.5,2.5,200,11,SSW
8/1/15 20:20,2.5,2.5,14.23,2.5,2.5,2.5,203,10,SSW
8/1/15 20:25,2.5,2.5,14.92,2.5,2.5,2.5,196,9,SSW
8/1/15 20:30,2.5,2.5,15.12,2.5,2.5,2.5,201,11,SSW
8/1/15 20:35,2.5,2.5,14.89,2.5,2.5,2.5,201,10,SSW
8/1/15 20:40,2.5,2.5,15.38,2.5,2.5,2.5,207,14,SSW
8/1/15 20:45,2.5,2.5,17.74,2.5,2.5,2.5,206,11,SSW
8/1/15 20:50,2.5,2.5,15.18,2.5,2.5,2.5,209,10,SSW
8/1/15 20:55,2.5,2.5,15.43,2.5,2.5,2.5,214,10,SSW
8/1/15 21:00,2.5,2.5,15.01,2.5,2.5,2.5,219,11,SW
8/1/15 21:05,2.5,2.5,17.04,2.5,2.5,2.5,222,12,SW
8/1/15 21:10,2.5,2.5,15.07,2.5,2.5,2.5,230,10,SW
8/1/15 21:15,2.5,2.5,17.42,2.5,2.5,2.5,222,13,SW
8/1/15 21:20,2.5,2.5,17.36,2.5,2.5,2.5,214,12,SSW
8/1/15 21:25,2.5,2.5,17.77,2.5,2.5,2.5,219,11,SW
8/1/15 21:30,2.5,2.5,17.08,2.5,2.5,2.5,222,12,SW
8/1/15 21:35,2.5,2.5,17.5,2.5,2.5,2.5,223,12,SW
8/1/15 21:40,2.5,2.5,15.71,2.5,2.5,2.5,218,10,SW
8/1/15 21:45,2.5,2.5,15.47,2.5,2.5,2.5,208,9,SSW
8/1/15 21:50,2.5,2.5,16.28,2.5,2.5,2.5,218,8,SW
8/1/15 21:55,2.5,2.5,16.28,2.5,2.5,2.5,214,7,SSW
8/1/15 22:00,2.5,2.5,15.32,2.5,2.5,2.5,195,7,SSW
8/1/15 22:05,2.5,2.5,14.83,2.5,2.5,2.5,207,6,SSW
8/1/15 22:10,2.5,2.5,15.96,2.5,2.5,2.5,197,7,SSW
8/1/15 22:15,2.5,2.5,15.01,2.5,2.5,2.5,197,7,SSW
8/1/15 22:20,2.5,2.5,14.31,2.5,2.5,2.5,202,6,SSW
8/1/15 22:25,2.5,2.5,13.73,2.5,2.5,2.5,211,5,SSW
8/1/15 22:30,2.5,2.5,14.02,2.5,2.5,2.5,211,5,SSW
8/1/15 22:35,2.5,2.5,12.64,2.5,2.5,2.5,203,6,SSW
8/1/15 22:40,2.5,2.5,12.35,2.5,2.5,2.5,222,7,SW
8/1/15 22:45,2.5,2.5,12.42,2.5,2.5,2.5,220,7,SW
8/1/15 22:50,2.5,2.5,12.88,2.5,2.5,2.5,222,7,SW
8/1/15 22:55,2.5,2.5,13.13,2.5,2.5,2.5,217,7,SW
8/1/15 23:00,2.5,2.5,13.42,2.5,2.5,2.5,221,8,SW
8/1/15 23:05,2.5,2.5,13.06,2.5,2.5,2.5,219,8,SW
8/1/15 23:10,2.5,2.5,12.07,2.5,2.5,2.5,219,8,SW
8/1/15 23:15,2.5,2.5,12.71,2.5,2.5,2.5,208,7,SSW
8/1/15 23:20,2.5,2.5,12.7,2.5,2.5,2.5,201,8,SSW
8/1/15 23:25,2.5,2.5,12.7,2.5,2.5,2.5,204,7,SSW
8/1/15 23:30,2.5,2.5,14.24,2.5,2.5,2.5,186,6,S
8/1/15 23:35,2.5,2.5,14.43,2.5,2.5,2.5,192,7,SSW
8/1/15 23:40,2.5,2.5,14.85,2.5,2.5,2.5,184,6,S
8/1/15 23:45,2.5,2.5,14.44,2.5,2.5,2.5,191,6,S
8/1/15 23:50,2.5,2.5,16,2.5,2.5,2.5,189,6,S
8/1/15 23:55,2.5,2.5,15.15,2.5,2.5,2.5,182,7,S
8/2/15 0:00,2.5,2.5,14.21,2.5,2.5,2.5,171,4,S
8/2/15 0:05,2.5,2.5,15.25,2.5,2.5,2.5,185,6,S
8/2/15 0:10,2.5,2.5,13.7,2.5,2.5,2.5,182,6,S
8/2/15 0:15,2.5,2.5,14.15,2.5,2.5,2.5,167,4,SSE
8/2/15 0:20,2.5,2.5,14.86,2.5,2.5,2.5,181,6,S
8/2/15 0:25,2.5,2.5,13.59,2.5,2.5,2.5,191,6,S
8/2/15 0:30,2.5,2.5,14.82,2.5,2.5,2.5,186,5,S
8/2/15 0:35,2.5,2.5,14.29,2.5,2.5,2.5,190,6,S
8/2/15 0:40,2.5,2.5,13.32,2.5,2.5,2.5,200,6,SSW
8/2/15 0:45,2.5,2.5,13.34,2.5,2.5,2.5,202,7,SSW
8/2/15 0:50,2.5,2.5,14.88,2.5,2.5,2.5,196,5,SSW
8/2/15 0:55,2.5,2.5,14.28,2.5,2.5,2.5,185,5,S
8/2/15 1:00,2.5,2.5,14.56,2.5,2.5,2.5,186,6,S
8/2/15 1:05,2.5,2.5,13.92,2.5,2.5,2.5,183,6,S
8/2/15 1:10,2.5,2.5,13.96,2.5,2.5,2.5,183,7,S
8/2/15 1:15,2.5,2.5,13.64,2.5,2.5,2.5,176,6,S
8/2/15 1:20,2.5,2.5,15.74,2.5,2.5,2.5,186,7,S
8/2/15 1:25,2.5,2.5,13.89,2.5,2.5,2.5,188,8,S
8/2/15 1:30,2.5,2.5,13.87,2.5,2.5,2.5,201,7,SSW
8/2/15 1:35,2.5,2.5,14.13,2.5,2.5,2.5,197,8,SSW
8/2/15 1:40,2.5,2.5,13.19,2.5,2.5,2.5,198,7,SSW
8/2/15 1:45,2.5,2.5,13.91,2.5,2.5,2.5,195,9,SSW
8/2/15 1:50,2.5,2.5,13.73,2.5,2.5,2.5,193,8,SSW
8/2/15 1:55,2.5,2.5,14.43,2.5,2.5,2.5,203,9,SSW
8/2/15 2:00,2.5,2.5,15.41,2.5,2.5,2.5,206,8,SSW
8/2/15 2:05,2.5,2.5,13.69,2.5,2.5,2.5,208,8,SSW
8/2/15 2:10,2.5,2.5,15.57,2.5,2.5,2.5,187,8,S
8/2/15 2:15,2.5,2.5,14.15,2.5,2.5,2.5,193,7,SSW
8/2/15 2:20,2.5,2.5,14.95,2.5,2.5,2.5,191,7,S
8/2/15 2:25,2.5,2.5,14.49,2.5,2.5,2.5,198,9,SSW
8/2/15 2:30,2.5,2.5,13.98,2.5,2.5,2.5,190,7,S
8/2/15 2:35,2.5,2.5,14.92,2.5,2.5,2.5,194,7,SSW
8/2/15 2:40,2.5,2.5,13.86,2.5,2.5,2.5,195,6,SSW
8/2/15 2:45,2.5,2.5,14.93,2.5,2.5,2.5,203,8,SSW
8/2/15 2:50,2.5,2.5,13.92,2.5,2.5,2.5,191,6,S
8/2/15 2:55,2.5,2.5,14.61,2.5,2.5,2.5,195,7,SSW
8/2/15 3:00,2.5,2.5,13.85,2.5,2.5,2.5,193,7,SSW
8/2/15 3:05,2.5,2.5,14.96,2.5,2.5,2.5,192,6,SSW
8/2/15 3:10,2.5,2.5,12.45,2.5,2.5,2.5,207,5,SSW
8/2/15 3:15,2.5,2.5,12.9,2.5,2.5,2.5,209,6,SSW
8/2/15 3:20,2.5,2.5,12.71,2.5,2.5,2.5,200,5,SSW
8/2/15 3:25,2.5,2.5,12.8,2.5,2.5,2.5,217,5,SW
8/2/15 3:30,2.5,2.5,13.21,2.5,2.5,2.5,205,5,SSW
